Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
1.74E+07,2622.1,1923.88,1499.97,0.557092,0.613598,0.721821,8118.57,4981.54,3595.78,0.958942,0.133677,0.25012,-0.250088,-0.0173067,0.968069,-0.133738,0.990874,-0.016835,-207.256,-188.718,-168.647,214.031,177.771,153.873,7841.47,3677.01,5177.4,585.769,749.298,128.004,574928,0,3.07E+10,1769
8,2542,1928,1286,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,-1,-1,-1,1,1,1,0,0,0,0,0,0,24,0,14160,1770
8,1652,2884,1286,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,-1,-1,-1,1,1,1,0,0,0,0,0,0,24,0,14168,1771
1.18E+06,1285.27,760.625,1369.95,0.550119,0.841506,0.534615,1216.46,1023.65,547.261,0.855564,0.138209,0.498907,-0.516152,0.302117,0.801444,0.0399616,0.943199,-0.329818,-76.5344,-96.5145,-53.4977,78.2074,76.7292,54.7886,1164.02,603.526,1019.82,4.84195,88.5754,161.493,89144,0,2.10E+09,1772
168,1298.19,1417.9,1294.29,0.961855,0.0436456,0.873982,21.554,0.940739,0.822189,0.213586,0.140065,0.966831,-0.783724,0.615406,0.0839812,0.583231,0.775666,-0.241215,-7.53179,-2.55086,-2.72121,8.8582,2.75058,2.78466,1.84077,1.27381,20.2024,0.563036,4.27336,2.81362,272,0,297864,1773
56,1517.14,2324.86,1291.14,0.445165,0.832009,0.666861,1.20826,1.00528,0.670385,-0.400312,0.360023,0.842694,0.734942,0.67542,0.0605672,-0.547367,0.643577,-0.534975,-2.61479,-2.48808,-2.47942,2.59127,2.45378,1.90247,0.9375,0.892857,1.05357,0.0887227,-0.166569,0.176857,96,0,99344,1774
1.28E+06,3316.2,1221.89,1366.48,0.601053,0.688397,0.579531,1460.68,1005.53,582.735,0.573554,0.739072,-0.353282,0.280205,0.228247,0.93241,0.769753,-0.633779,-0.0761796,-102.527,-74.4673,-66.1755,79.5266,75.2525,51.3711,904.743,1084.32,1059.88,399.199,-67.4338,-139.254,103744,0,2.26E+09,1775
419560,1340.27,1571.61,1337.8,0.304043,0.828672,0.839847,523.083,433.464,364.043,0.978695,-0.198137,-0.053824,0.0403525,-0.0714144,0.99663,0.201313,0.977569,0.0618977,-49.6806,-46.3558,-42.8235,51.8666,46.7193,40.8417,516.491,370.641,433.457,-31.0403,-5.58591,-3.24484,41512,0,7.45E+08,1776
2.23E+06,933.507,2817.34,1401.64,0.474121,0.699859,0.751408,1905.55,1333.62,1002.09,0.879703,0.474685,-0.0282189,-0.160693,0.352605,0.921872,-0.447549,0.806439,-0.386466,-124.137,-103.463,-71.8016,95.2928,89.1321,74.2264,1709.82,1246.88,1284.56,358.484,-71.5394,95.6628,148680,0,3.96E+09,1777
64,2705.75,736.5,1295.5,0.687931,0.654291,0.476958,2.03421,1.33097,0.634816,-0.554415,0.825371,-0.106711,0.790523,0.48219,-0.37758,0.260189,0.293694,0.919807,-3.25539,-2.8133,-2.46151,3.15493,2.48729,1.96549,1.5,1.75,0.75,-0.375,-0.125,-0.25,120,0,113792,1778
